Longitud,Tiempo1,Tiempo2
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
10001,0.109359026,0.015624523
10001,0.10938549,0.015624523
10001,0.109373331,0.015628815
10001,0.109379053,0.015621424
10001,0.125013351,0.015612602
10001,0.10935545,0.015629053
10001,0.109389305,0.015627861
10001,0.109387159,0.015624523
10001,0.124982595,0.015628576
10001,0.093766451,0.015627384
10001,0.124984026,0.015629768
10001,0.109388828,0.015625477
10001,0.109377146,0.015625954
10001,0.124990702,0.015627861
10001,0.109392881,0.015625954
10001,0.125003338,0
10001,0.093736887,0.015625477
10001,0.125012398,0.015626431
10001,0.140613079,0.015624762
10001,0.117568016,0.015625715
20001,0.234376431,0.031253815
20001,0.249994516,0.031257391
20001,0.243279219,0.031257629
20001,0.249997616,0.031263113
20001,0.249997854,0.031239748
20001,0.249998093,0.046884775
20001,0.234379053,0.031256437
20001,0.250000477,0.03125906
20001,0.26563859,0.031253338
20001,0.250309706,0.016501665
20001,0.249977589,0.046878576
20001,0.256354094,0.01559329
20001,0.250000954,0.031275988
20001,0.23435998,0.031272888
20001,0.25020504,0.046898127
20001,0.250001192,0.031262636
20001,0.249985933,0.015625238
20001,0.265619755,0.015626431
20001,0.249983549,0.046885252
20001,0.25001502,0.031237364
30001,0.375020027,0.046874046
30001,0.390625238,0.046872854
30001,0.3991642,0.033603668
30001,0.421875954,0.078134298
30001,0.40626502,0.046857595
30001,0.387270451,0.046863079
30001,0.374997377,0.031256437
30001,0.390626669,0.046857357
30001,0.374991894,0.046885967
30001,0.375014544,0.046883583
30001,0.389939547,0.06251812
30001,0.390597105,0.046891451
30001,0.421858311,0.046875
30001,0.421854019,0.078148365
30001,0.390626907,0.046857357
30001,0.406241655,0.046865463
30001,0.406229734,0.04689312
30001,0.37499404,0.031250238
30001,0.406256676,0.031258106
30001,0.390626192,0.03125453
40001,0.562480688,0.078467846
40001,0.578131199,0.078136444
40001,0.526468754,0.093752861
40001,0.531270266,0.078131199
40001,0.531435013,0.078126669
40001,0.531399727,0.046863317
40001,0.51569581,0.078135014
40001,0.593837261,0.078130007
40001,0.531426668,0.062504053
40001,0.562513351,0.062508821
40001,0.562492132,0.078150988
40001,0.593760252,0.062502384
40001,0.562508106,0.078111172
40001,0.546881676,0.093735218
40001,0.562667608,0.046881199
40001,0.546874523,0.046890259
40001,0.532854795,0.078107834
40001,0.562482834,0.062501431
40001,0.578123569,0.062833786
40001,0.609356403,0.046904087
50001,0.734751225,0.062482595
50001,0.750147104,0.093756437
50001,0.687618971,0.093744993
50001,0.734458208,0.093755484
50001,0.703123808,0.078141928
50001,0.674054861,0.093752861
50001,0.687002897,0.125010252
50001,0.656268358,0.093731642
50001,0.671858788,0.078607082
50001,0.703289032,0.093734026
50001,0.68749404,0.109378576
50001,0.687494755,0.093732119
50001,0.672674656,0.078108072
50001,0.696280956,0.062512398
50001,0.716940165,0.124986887
50001,0.703555822,0.093740225
50001,0.780428886,0.061017275
50001,0.762771368,0.127603531
50001,0.740136623,0.109383345
50001,0.728334188,0.083019257
60001,0.883398056,0.109376431
60001,0.8282516,0.093755245
60001,1.027904987,0.206980467
60001,0.835673571,0.093765259
60001,0.843876362,0.078128576
60001,0.939774752,0.046900749
60001,0.911895037,0.093739986
60001,0.875665665,0.125504494
60001,0.880100965,0.109367371
60001,0.843960285,0.09373641
60001,0.874778509,0.124006748
60001,0.879702568,0.105624437
60001,0.798295259,0.078133345
60001,0.93643856,0.065997601
60001,0.848267555,0.093770027
60001,0.837044954,0.093737602
60001,0.950039625,0.102250338
60001,0.831613541,0.093778372
60001,0.906448126,0.170397282
60001,0.911349773,0.078127623
70001,0.955719948,0.109722137
70001,1.058039665,0.121002913
70001,1.078139067,0.093738317
70001,1.084646463,0.099019051
70001,1.003961802,0.109376192
70001,0.969294786,0.066886425
70001,1.077742815,0.140627861
70001,1.009400129,0.093740702
70001,1.163701296,0.161022186
70001,1.092732191,0.109383583
70001,1.11830163,0.13200593
70001,0.978181601,0.125020027
70001,0.953120708,0.109392405
70001,1.129489422,0.124993801
70001,0.954141855,0.140633106
70001,1.096600294,0.137651205
70001,0.953378439,0.172772408
70001,0.987385988,0.103005886
70001,1.005636692,0.125002861
70001,0.968960762,0.109375238
80001,1.325018883,0.109378576
80001,1.093861818,0.093751907
80001,1.316129923,0.218760252
80001,1.144504309,0.124992609
80001,1.235970259,0.062487841
80001,1.145325899,0.162158251
80001,1.267019272,0.156255245
80001,1.145424604,0.140633106
80001,1.179583073,0.140650034
80001,1.156235933,0.12502408
80001,1.178407907,0.10936594
80001,1.125111818,0.116212606
80001,1.214972258,0.109400749
80001,1.134379148,0.140651941
80001,1.248918533,0.119390488
80001,1.171868801,0.140630245
80001,1.32292366,0.093770981
80001,1.177621126,0.156250477
80001,1.343190193,0.187490225
80001,1.109485149,0.078124285
90001,1.475397587,0.156264544
90001,1.312631607,0.109394312
90001,1.549035788,0.171874762
90001,1.499779701,0.162008286
90001,1.328350067,0.187502384
90001,1.546019316,0.17189455
90001,1.359533072,0.109385967
90001,1.347673178,0.187488794
90001,1.475575686,0.185983658
90001,1.360659599,0.156252146
90001,1.513886929,0.20314002
90001,1.298629761,0.156267881
90001,1.430378199,0.125020742
90001,1.3125875,0.238649607
90001,1.349700212,0.109531403
90001,1.37760663,0.18899703
90001,1.281402349,0.171877861
90001,1.484880924,0.170615911
90001,1.359455585,0.171885252
90001,1.423681498,0.187509775
100001,1.448375463,0.290044546
100001,1.472382784,0.187508583
100001,1.591412067,0.140625715
100001,1.500171661,0.12498641
100001,1.592255831,0.125006676
100001,1.833099365,0.114133596
100001,1.516424179,0.140645266
100001,1.59527421,0.25023818
100001,1.521044731,0.211028099
100001,1.4324224,0.156266212
100001,1.608973742,0.125542164
100001,1.406796217,0.160654306
100001,1.479453325,0.093754768
100001,1.611059189,0.228640318
100001,1.522906065,0.140629053
100001,1.451720953,0.156236172
100001,1.678091526,0.228999615
100001,1.538529396,0.093742609
100001,1.554908991,0.140626907
100001,1.482487917,0.279016256
